hostname,planet_count,min_period,max_period,min_distance,max_distance,discovery_year,system_distance,ra,dec
HAT-P-32,1,2.1500082,2.1500082,0.03397,0.03397,2011,289.205,31.0427614,46.6878512
HAT-P-33,1,3.47447,3.47447,0.04995,0.04995,2011,396.11,113.1842383,33.8350214
HAT-P-34,1,5.452654,5.452654,0.06774,0.06774,2011,249.325,303.1954355,18.1047776
HAT-P-35,1,3.646706,3.646706,0.04978,0.04978,2011,506.965,123.250703,4.7870288
HAT-P-36,1,1.32734683,1.32734683,0.0241,0.0241,2011,294.419,188.2662048,44.9153672
HAT-P-37,1,2.797436,2.797436,0.0379,0.0379,2011,390.594,284.2960393,51.2691212
HAT-P-38,1,4.640382,4.640382,0.0523,0.0523,2012,255.206,35.3834942,32.2460441
HAT-P-39,1,3.54387,3.54387,0.0509,0.0509,2012,697.004,113.7582526,17.8300283
HAT-P-4,1,3.056536,3.056536,0.04438,0.04438,2007,320.451,229.99122,36.229545
HAT-P-40,1,4.45724,4.45724,0.0608,0.0608,2012,464.469,335.5129199,45.4573423
HAT-P-41,1,2.69405,2.69405,0.04258,0.04258,2012,348.185,297.3226523,4.6724124
HAT-P-42,1,4.641878,4.641878,0.0575,0.0575,2012,405.238,135.3443583,6.0970828
HAT-P-43,1,3.3326414,3.3326414,0.0444,0.0444,2012,528.825,128.9256885,10.2065866
HAT-P-45,1,3.128992,3.128992,0.0452,0.0452,2014,298.64,274.3732697,-3.3810594
HAT-P-46,1,4.463129,4.463129,0.0577,0.0577,2014,290.736,270.4441831,-2.97098
HAT-P-49,1,2.69155,2.69155,0.04378,0.04378,2014,350.351,305.4413294,26.6926759
HAT-P-5,1,2.78849,2.78849,0.04073,0.04073,2007,303.336,274.4055335,36.6214617
HAT-P-50,1,3.1220109,3.1220109,0.0453,0.0453,2015,515.458,118.0634379,12.1393474
HAT-P-51,1,4.21802091,4.21802091,0.05042,0.05042,2015,440.089,21.0651251,32.8107
HAT-P-52,1,2.7535953,2.7535953,0.03694,0.03694,2015,361.155,42.7217412,29.0222492
HAT-P-53,1,1.9616241,1.9616241,0.03159,0.03159,2015,666.802,21.8711012,38.9681137
HAT-P-54,1,3.799847,3.799847,0.04117,0.04117,2015,143.651,99.8979924,25.4824005
HAT-P-55,1,3.5852313,3.5852313,0.04628,0.04628,2015,511.388,264.2735096,25.7311468
HAT-P-56,1,2.79083,2.79083,0.0423,0.0423,2015,320.639,100.8480137,27.2521823
