pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_eqt,st_rad,st_mass,st_teff,sy_dist,ra,dec,download_date
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,268.94,0.78,13.8,1.23,,,,0.86,0.49,4864.0,49.352,318.4010002,14.6893834,2025-08-09T19:18:00.759638
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,153.22,0.576,13.8,1.23,,,,8.95,1.08,4649.0,768.045,176.4820239,14.6163182,2025-08-09T19:18:00.759639
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,137.48,0.539,13.7,1.23,,,,14.7,1.1,4796.0,426.42,240.09564,15.5467507,2025-08-09T19:18:00.759642
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,379.63,1.45,12.1,1.08,,,,49.0,2.8,4137.0,1539.71,154.186782,19.8912626,2025-08-09T19:18:00.759644
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,621.99,2.01,12.4,1.1,,,,49.0,2.8,4137.0,1539.71,154.186782,19.8912626,2025-08-09T19:18:00.759645
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,578.2,1.3,13.0,1.16,,,,17.3,0.8,4296.0,1322.51,25.9203179,21.0052692,2025-08-09T19:18:00.759648
BD+20 594 b,BD+20 594,1,1,Transit,2016,41.6855,0.241,2.57807,0.23,22.2481,0.07,546.0,1.08,1.67,5766.0,179.461,53.6511231,20.5990205,2025-08-09T19:18:00.759649
BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,307.88,0.83,13.6,1.21,,,,0.813064,0.81,5004.0,53.622,32.9470485,45.9242187,2025-08-09T19:18:00.759651
BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,392.6,1.0,13.9,1.24,,,,11.0,0.74,4414.0,871.493,40.7102869,49.5869395,2025-08-09T19:18:00.759652
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,733.0,1.7,13.5,1.2,,,,10.33,1.09,4534.0,666.589,40.7425426,48.9300579,2025-08-09T19:18:00.759654
BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,2590.0,4.2,13.5,1.21,,,,7.6,1.52,4943.0,442.042,45.6406187,49.7299481,2025-08-09T19:18:00.759655
BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,265.59,0.78,14.0,1.25,,,,0.896193,0.909,5012.0,52.5697,23.9636676,56.6982282,2025-08-09T19:18:00.759656
BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,1198.48,2.06,12.4,1.11,3305.4154328,10.4,,0.804724,0.816,5000.0,38.0473,271.3979337,63.6700064,2025-08-09T19:18:00.759658
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,3.8728,0.0428,2.85,0.254,,,,0.686355,0.7,4324.0,20.2695,88.2511811,-5.9963378,2025-08-09T19:18:00.759660
BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,125.94,0.435,8.38,0.747,,,,0.686355,0.7,4324.0,20.2695,88.2511811,-5.9963378,2025-08-09T19:18:00.759661
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,5.6,0.06,3.61,0.322,,,,0.71,0.5,4816.0,41.3342,150.1971964,-9.5165689,2025-08-09T19:18:00.759662
BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,237.6,0.68,12.5,1.11,,,,0.71,0.74,4746.0,41.3342,150.1971964,-9.5165689,2025-08-09T19:18:00.759664
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,3.48777,0.04,14.1,1.26,,,,0.91,1.47,5393.0,84.4069,164.6191243,-10.7704227,2025-08-09T19:18:00.759665
BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,74.2,0.3,4.04,0.36,,,,0.639,0.651,4550.0,27.1665,278.3688659,-11.6370481,2025-08-09T19:18:00.759667
BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,1634.0,2.36,14.1,1.25,,,,0.639,0.651,4550.0,27.1665,278.3688659,-11.6370481,2025-08-09T19:18:00.759668
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,714.29999,1.66,12.5,1.11,,,,19.17,2.12,4545.0,925.214,114.2884692,-13.9066703,2025-08-09T19:18:00.759669
BD-14 3065 b,BD-14 3065 A,3,1,Transit,2024,4.2889731,0.0656,21.59,1.926,3932.0,12.37,2001.0,2.35,1.41,6935.0,589.423,153.6696689,-15.6428372,2025-08-09T19:18:00.759671
BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,655.57,1.34,12.8,1.15,1639.99458012,5.16,,0.74,0.741,4714.0,34.4603,7.1413494,-16.2273254,2025-08-09T19:18:00.759672
BD-210397 b,BD-210397,1,2,Radial Velocity,2023,1891.0,2.63,14.0,1.25,,,,0.747,0.679,4051.0,23.7324,33.3024198,-21.1962147,2025-08-09T19:18:00.759674
BD-210397 c,BD-210397,1,2,Radial Velocity,2023,6240.0,5.9,12.9,1.15,1525.5763536,4.8,,0.747,0.69,4051.0,23.7324,33.3024198,-21.1962147,2025-08-09T19:18:00.759676
Barnard d,Barnard's star,1,4,Radial Velocity,2025,2.3402,0.0188,0.694,0.062,,,483.0,0.185,0.162,3195.0,1.82655,269.4486144,4.7379808,2025-08-09T19:18:00.759677
Barnard b,Barnard's star,1,4,Radial Velocity,2024,3.1542,0.0229,0.72,0.0642,,,438.0,0.185,0.162,3195.0,1.82655,269.4486144,4.7379808,2025-08-09T19:18:00.759679
Barnard c,Barnard's star,1,4,Radial Velocity,2025,4.1244,0.0274,0.743,0.0663,,,400.0,0.185,0.162,3195.0,1.82655,269.4486144,4.7379808,2025-08-09T19:18:00.759680
Barnard e,Barnard's star,1,4,Radial Velocity,2025,6.7392,0.0381,0.637,0.0568,,,340.0,0.185,0.162,3195.0,1.82655,269.4486144,4.7379808,2025-08-09T19:18:00.759681
CD Cet b,CD Cet,1,1,Radial Velocity,2020,2.2907,0.0185,1.82,0.162,,,464.0,0.175,0.161,3130.0,8.60715,48.3530155,4.7751881,2025-08-09T19:18:00.759683
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,10037.5,2.6,12.4,1.11,3337.1,10.5,370.0,,0.021,580.5,23.1,224.6208333,10.2286111,2025-08-09T19:18:00.759684
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,Imaging,2021,8040000.0,200.0,20.8487041,1.86,2479.0615746,7.8,1800.0,0.245,0.0147,2320.0,,246.934277,-23.98115,2025-08-09T19:18:00.759686
CI Tau c,CI Tau,1,1,Radial Velocity,2024,25.2,0.17,13.0,1.16,,,,1.880857,0.9,3807.0,157.998,68.4667685,22.8416192,2025-08-09T19:18:00.759687
COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021,402000000.0,7506.0,12.44196858,1.11,2542.627256,8.0,434.0,0.388,0.37,3406.0,10.8864,117.300914,-76.702696,2025-08-09T19:18:00.759689
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,1.5089557,0.02752,16.7,1.49,327.35,1.03,1898.0,1.11,0.95,5950.0,787.909,102.0798591,-3.1021394,2025-08-09T19:18:00.759690
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,13.2406,0.1055,10.87,0.97,874.0,2.75,600.0,0.79,0.89,5075.0,338.386,291.0636813,0.7460143,2025-08-09T19:18:00.759691
