pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_eqt,st_rad,st_mass,st_teff,sy_dist,ra,dec,download_date
Kepler-1382 b,Kepler-1382,1,1,Transit,2016,16.3583055,0.14023,1.88,0.16772237,,,959.0,1.72,1.36,6161.0,738.261,295.3774182,39.0480365,2025-08-09T19:18:00.762907
Kepler-1383 b,Kepler-1383,1,1,Transit,2016,13.9093583,0.11397,1.41,0.12579177,,,928.0,1.44,1.26,6370.0,1027.21,297.9447714,42.1918449,2025-08-09T19:18:00.762908
Kepler-1384 b,Kepler-1384,1,1,Transit,2016,15.36262753,0.1126,1.94,0.17307521,,,608.0,0.74,0.78,4919.0,618.0,296.2151275,39.5270248,2025-08-09T19:18:00.762910
Kepler-1385 b,Kepler-1385,1,1,Transit,2016,2.88879862,0.04262,0.85,0.07583192,,,1423.0,1.29,1.15,5732.0,688.795,282.6313559,46.481022,2025-08-09T19:18:00.762911
Kepler-1386 b,Kepler-1386,1,1,Transit,2016,6.73972381,0.068,1.24,0.11062539,,,1011.0,1.03,1.02,5733.0,835.882,280.8233646,42.6360518,2025-08-09T19:18:00.762912
Kepler-1387 b,Kepler-1387,1,1,Transit,2016,2.279526656,0.031,0.93,0.08296904,,,1123.0,0.77,0.82,5046.0,455.358,292.4403029,43.2093456,2025-08-09T19:18:00.762914
Kepler-1388 c,Kepler-1388,1,4,Transit,2016,5.53608151,0.0519,2.26,0.2016237,,,566.0,0.61,0.63,4098.0,453.795,283.3360156,47.1744499,2025-08-09T19:18:00.762915
Kepler-1388 b,Kepler-1388,1,4,Transit,2016,12.2854603,0.0882,2.59,0.23106432,,,434.0,0.61,0.63,4098.0,453.795,283.3360156,47.1744499,2025-08-09T19:18:00.762916
Kepler-1388 d,Kepler-1388,1,4,Transit,2016,20.9568158,0.126,2.86,0.25515211,,,363.0,0.61,0.63,4098.0,453.795,283.3360156,47.1744499,2025-08-09T19:18:00.762918
Kepler-1388 e,Kepler-1388,1,4,Transit,2016,37.6327084,0.1861,2.46,0.2194665,,,299.0,0.61,0.63,4098.0,453.795,283.3360156,47.1744499,2025-08-09T19:18:00.762919
Kepler-1389 b,Kepler-1389,1,1,Transit,2016,99.2530951,0.38249,1.77,0.15790882,,,300.0,0.74,0.81,5078.0,497.093,285.7174414,44.7583487,2025-08-09T19:18:00.762921
Kepler-139 d,Kepler-139,1,5,Transit,2023,7.305699922,0.0755533961,1.695,0.15121803,2.0,0.00629270372298723,972.0,1.045,1.078,5622.0,391.038,282.3919451,43.8894167,2025-08-09T19:18:00.762922
Kepler-139 b,Kepler-139,1,5,Transit,2014,15.771044,0.127,2.94,0.262,7.0,0.0220244630304553,752.0,1.3,1.078,5594.0,391.038,282.3919451,43.8894167,2025-08-09T19:18:00.762924
Kepler-139 c,Kepler-139,1,5,Transit,2014,157.072878,0.586,3.38,0.302,13.0,0.040902574199417,350.0,1.3,1.078,5594.0,391.038,282.3919451,43.8894167,2025-08-09T19:18:00.762925
Kepler-139 e,Kepler-139,1,5,Radial Velocity,2023,2047.635373,3.23579639,13.7,1.22,378.0,1.18932100364459,,1.045,1.078,5622.0,391.038,282.3919451,43.8894167,2025-08-09T19:18:00.762927
Kepler-1390 b,Kepler-1390,1,1,Transit,2016,6.48021673,0.0662,1.18,0.10527255,,,934.0,0.98,0.98,5753.0,723.431,298.6624419,48.2488659,2025-08-09T19:18:00.762928
Kepler-1391 b,Kepler-1391,1,1,Transit,2016,54.4092333,0.30045,1.68,0.14987956,,,513.0,1.1,1.03,5840.0,1038.35,294.8309749,46.6595768,2025-08-09T19:18:00.762929
Kepler-1392 b,Kepler-1392,1,1,Transit,2016,15.1410397,0.1189,1.96,0.17485949,,,714.0,0.85,0.88,5479.0,1117.0,288.7669819,46.3944497,2025-08-09T19:18:00.762931
Kepler-1393 b,Kepler-1393,1,1,Transit,2016,2.44357812,0.0337,0.8,0.07137122,,,1249.0,0.92,0.95,5697.0,544.456,284.4594558,40.1424756,2025-08-09T19:18:00.762932
Kepler-1394 b,Kepler-1394,1,1,Transit,2016,3.93766373,0.05474,1.39,0.12400749,,,1947.0,2.55,1.64,6481.0,640.409,283.4532068,45.0840729,2025-08-09T19:18:00.762933
Kepler-1395 b,Kepler-1395,1,1,Transit,2016,3.78470649,0.04974,0.8,0.07137122,,,1311.0,1.23,1.17,6138.0,492.894,292.3374945,47.6641732,2025-08-09T19:18:00.762935
Kepler-1396 b,Kepler-1396,1,1,Transit,2016,18.2206421,0.1406,2.07,0.18467303,,,786.0,1.27,1.18,6195.0,1066.46,294.3363936,44.9182296,2025-08-09T19:18:00.762936
Kepler-1397 b,Kepler-1397,1,1,Transit,2016,47.449955,0.25861,1.72,0.15344812,,,551.0,1.12,1.09,6026.0,1198.25,299.6758812,47.0758234,2025-08-09T19:18:00.762939
Kepler-1398 b,Kepler-1398,1,2,Transit,2016,2.78815679,0.03909,0.9,0.08029262,,,1510.0,1.18,1.13,6126.0,852.204,294.8661073,48.6389923,2025-08-09T19:18:00.762940
Kepler-1398 c,Kepler-1398,1,2,Transit,2016,4.13827595,0.05087,1.03,0.09189045,,,1324.0,1.18,1.13,6126.0,852.204,294.8661073,48.6389923,2025-08-09T19:18:00.762942
Kepler-1399 b,Kepler-1399,1,1,Transit,2016,1.638653058,0.0276,1.25,0.11151753,,,1610.0,0.96,0.97,5735.0,1385.7,293.3116962,46.0416516,2025-08-09T19:18:00.762943
Kepler-14 b,Kepler-14,2,1,Transit,2011,6.790123,0.0771,12.733,1.136,2669.66,8.4,1605.0,2.048,1.512,6395.0,798.0,287.708814,47.33305,2025-08-09T19:18:00.762944
Kepler-140 b,Kepler-140,1,2,Transit,2014,3.25427,0.045,1.61,0.144,,,1301.0,1.288,1.044,6077.0,583.859,287.3694056,46.7681473,2025-08-09T19:18:00.762946
Kepler-140 c,Kepler-140,1,2,Transit,2014,91.353282,0.414,1.8,0.161,,,428.0,1.288,1.044,6077.0,583.859,287.3694056,46.7681473,2025-08-09T19:18:00.762947
Kepler-1400 b,Kepler-1400,1,1,Transit,2016,9.06689421,0.0771,1.62,0.14452672,,,725.0,0.78,0.83,5044.0,752.237,286.2716827,45.4408055,2025-08-09T19:18:00.762949
Kepler-1401 b,Kepler-1401,1,1,Transit,2016,11.20066445,0.0975,1.68,0.14987956,,,808.0,1.1,1.07,5964.0,1425.43,287.4660334,40.75842,2025-08-09T19:18:00.762950
Kepler-1402 b,Kepler-1402,1,1,Transit,2016,2.03387914,0.0322,0.76,0.06780266,,,1789.0,0.87,0.9,5416.0,1493.64,291.8478341,48.9681664,2025-08-09T19:18:00.762951
Kepler-1403 b,Kepler-1403,1,1,Transit,2016,5.19492202,0.064,2.14,0.19091801,,,1238.0,1.15,1.11,6060.0,2163.9,290.8676391,38.9600779,2025-08-09T19:18:00.762953
Kepler-1404 b,Kepler-1404,1,1,Transit,2016,15.9314739,0.1143,2.01,0.17932019,,,596.0,0.8,0.84,5261.0,962.183,296.0094827,50.4983929,2025-08-09T19:18:00.762954
Kepler-1405 b,Kepler-1405,1,1,Transit,2016,28.2274184,0.1778,3.96,0.35328754,,,565.0,1.07,1.05,5925.0,1530.3,295.6848822,39.2561274,2025-08-09T19:18:00.762956
Kepler-1406 b,Kepler-1406,1,1,Transit,2016,11.62905828,0.0987,1.1,0.09813543,,,854.0,1.12,1.05,5892.0,572.403,292.0818824,38.9149472,2025-08-09T19:18:00.762957
Kepler-1407 b,Kepler-1407,1,1,Transit,2016,20.0711504,0.1502,2.25,0.20073156,,,826.0,1.15,1.1,6010.0,1396.41,283.9424274,41.4715535,2025-08-09T19:18:00.762958
Kepler-1408 b,Kepler-1408,1,1,Transit,2016,2.99793191,0.04218,0.89,0.07940048,,,1616.0,1.35,1.21,6170.0,535.048,282.6998783,45.4257884,2025-08-09T19:18:00.762960
Kepler-1409 b,Kepler-1409,1,1,Transit,2016,0.764864926,0.01553,1.04,0.09278259,,,1733.0,0.79,0.83,5160.0,694.89,290.0847389,51.2086144,2025-08-09T19:18:00.762961
Kepler-141 b,Kepler-141,1,2,Transit,2014,3.107675,0.039,0.69,0.062,,,968.0,0.787,0.878,4910.0,301.183,297.9707271,47.7316041,2025-08-09T19:18:00.762963
Kepler-141 c,Kepler-141,1,2,Transit,2014,7.010606,0.067,1.41,0.126,,,738.0,0.787,0.878,4910.0,301.183,297.9707271,47.7316041,2025-08-09T19:18:00.762964
Kepler-1410 b,Kepler-1410,1,1,Transit,2016,60.866168,0.2543,1.78,0.15880096,,,290.0,0.6,0.63,4092.0,367.0,290.5102933,38.743501,2025-08-09T19:18:00.762965
Kepler-1411 b,Kepler-1411,1,1,Transit,2016,86.1150888,0.4001,2.82,0.25158355,,,441.0,0.92,0.95,5664.0,1660.48,286.3615236,42.9638889,2025-08-09T19:18:00.762967
Kepler-1412 b,Kepler-1412,1,1,Transit,2016,3.6146051,0.04608,0.83,0.07404764,,,1397.0,1.27,1.06,5880.0,755.678,292.1801539,49.202481,2025-08-09T19:18:00.762968
Kepler-1413 b,Kepler-1413,1,1,Transit,2016,13.1829642,0.1066,1.82,0.16236952,,,661.0,0.8,0.84,5196.0,1167.49,294.3416065,46.4987624,2025-08-09T19:18:00.762970
Kepler-1414 b,Kepler-1414,1,1,Transit,2016,3.51576315,0.0426,1.23,0.10973325,,,1033.0,0.75,0.8,4951.0,570.835,284.9285796,42.4223085,2025-08-09T19:18:00.762971
Kepler-1415 b,Kepler-1415,1,1,Transit,2016,0.63642408,0.01416,1.29,0.11508609,,,1846.0,0.84,0.89,5267.0,1043.56,285.1568015,47.8732512,2025-08-09T19:18:00.762972
Kepler-1416 b,Kepler-1416,1,1,Transit,2016,1.49514952,0.0257,0.88,0.07850834,,,1870.0,1.15,1.09,6019.0,949.59,298.6634624,43.8940593,2025-08-09T19:18:00.762974
Kepler-1417 b,Kepler-1417,1,1,Transit,2016,20.3505213,0.14062,1.0,0.08921402,,,695.0,1.02,1.02,5839.0,991.845,290.9498966,40.605197,2025-08-09T19:18:00.762975
Kepler-1418 b,Kepler-1418,1,1,Transit,2016,22.4764425,0.131,1.66,0.14809528,,,419.0,0.72,0.77,4770.0,499.0,282.9975322,41.67859,2025-08-09T19:18:00.762977
Kepler-1419 b,Kepler-1419,1,1,Transit,2016,42.5215895,0.2391,2.86,0.25515211,,,510.0,1.01,1.01,5796.0,1498.58,292.2545917,37.971376,2025-08-09T19:18:00.762978
Kepler-142 b,Kepler-142,1,3,Transit,2014,2.024152,0.032,1.99,0.178,,,1597.0,1.269,0.978,5790.0,548.686,295.1190067,48.4813635,2025-08-09T19:18:00.762979
Kepler-142 c,Kepler-142,1,3,Transit,2014,4.761702,0.057,2.86,0.255,,,1201.0,1.269,0.978,5790.0,548.686,295.1190067,48.4813635,2025-08-09T19:18:00.762981
Kepler-142 d,Kepler-142,1,3,Transit,2014,41.809118,0.242,2.16,0.193,,,582.0,1.269,0.978,5790.0,548.686,295.1190067,48.4813635,2025-08-09T19:18:00.762982
Kepler-1420 b,Kepler-1420,1,1,Transit,2016,6.69960006,0.0671,1.28,0.11419395,,,806.0,0.79,0.82,5187.0,1054.37,296.2038586,42.7778165,2025-08-09T19:18:00.762984
Kepler-1421 b,Kepler-1421,1,1,Transit,2016,6.9131112,0.07576,0.93,0.08296904,,,1209.0,1.42,1.25,6335.0,783.401,286.5806115,48.5442312,2025-08-09T19:18:00.762985
Kepler-1422 b,Kepler-1422,1,1,Transit,2016,18.6051942,0.1499,2.02,0.18021233,,,833.0,1.23,1.15,6194.0,2465.84,293.8902214,48.3360926,2025-08-09T19:18:00.762987
Kepler-1423 b,Kepler-1423,1,1,Transit,2016,23.955378,0.1586,1.06,0.09456687,,,741.0,0.75,0.79,4939.0,449.0,288.2437481,41.1100655,2025-08-09T19:18:00.762988
Kepler-1424 b,Kepler-1424,1,1,Transit,2016,29.6091744,0.19068,1.16,0.10348827,,,629.0,1.07,1.02,5838.0,661.421,290.9916648,40.2293347,2025-08-09T19:18:00.762989
Kepler-1425 b,Kepler-1425,1,1,Transit,2016,14.4541302,0.11435,0.94,0.08386118,,,676.0,0.95,0.97,5718.0,863.873,294.9510368,43.0124348,2025-08-09T19:18:00.762991
Kepler-1426 b,Kepler-1426,1,1,Transit,2016,14.2563227,0.1187,1.56,0.13917388,,,797.0,1.02,1.02,5831.0,1697.81,292.5457096,49.4168981,2025-08-09T19:18:00.762992
Kepler-1427 b,Kepler-1427,1,1,Transit,2016,0.968972376,0.0197,1.1,0.09813543,,,1844.0,1.01,1.01,5793.0,1220.0,295.3496546,45.1145372,2025-08-09T19:18:00.762994
Kepler-1428 b,Kepler-1428,1,1,Transit,2016,10.67607169,0.11051,1.64,0.146311,,,1049.0,1.36,1.28,6184.0,1530.32,297.6422563,49.594958,2025-08-09T19:18:00.762996
Kepler-1429 b,Kepler-1429,1,1,Transit,2016,4.48487493,0.055,1.29,0.11508609,,,1199.0,1.07,1.05,5902.0,1214.09,285.3662532,49.0448172,2025-08-09T19:18:00.762998
Kepler-143 b,Kepler-143,1,2,Transit,2014,16.007583,0.127,2.41,0.215,,,838.0,1.359,0.982,5848.0,809.467,298.0676519,49.412541,2025-08-09T19:18:00.763000
Kepler-143 c,Kepler-143,1,2,Transit,2014,27.082511,0.181,3.37,0.301,,,703.0,1.359,0.982,5848.0,809.467,298.0676519,49.412541,2025-08-09T19:18:00.763001
Kepler-1430 b,Kepler-1430,1,1,Transit,2016,2.46050993,0.0304,1.18,0.10527255,,,969.0,0.72,0.77,4796.0,875.523,289.6975391,43.3719581,2025-08-09T19:18:00.763003
Kepler-1431 b,Kepler-1431,1,1,Transit,2016,5.86601526,0.0648,1.47,0.13114462,,,1064.0,1.03,1.03,5806.0,1623.24,292.6583919,49.8651522,2025-08-09T19:18:00.763004
Kepler-1432 b,Kepler-1432,1,1,Transit,2016,23.9109011,0.1696,2.22,0.19805513,,,709.0,1.13,1.09,6031.0,2171.87,295.5241011,49.8295211,2025-08-09T19:18:00.763006
Kepler-1433 b,Kepler-1433,1,1,Transit,2016,4.13592271,0.0516,1.56,0.13917388,,,1226.0,1.19,1.14,6097.0,1328.0,287.3634559,49.4568649,2025-08-09T19:18:00.763007
Kepler-1434 b,Kepler-1434,1,1,Transit,2016,8.05333618,0.0917,1.11,0.09902757,,,1320.0,2.04,1.47,6291.0,775.529,295.5384415,51.2030002,2025-08-09T19:18:00.763008
Kepler-1435 b,Kepler-1435,1,1,Transit,2016,4.45343281,0.05456,0.86,0.07672406,,,1331.0,1.32,1.21,6356.0,704.211,291.1732806,44.9210836,2025-08-09T19:18:00.763010
Kepler-1436 b,Kepler-1436,1,1,Transit,2016,9.705716,0.0907,1.31,0.11687037,,,1001.0,1.09,1.06,5972.0,2530.62,297.711553,46.7679816,2025-08-09T19:18:00.763011
Kepler-1437 b,Kepler-1437,1,1,Transit,2016,10.9295461,0.0951,1.37,0.12222321,,,770.0,0.9,0.93,5557.0,2101.69,291.8649164,49.325869,2025-08-09T19:18:00.763013
Kepler-1438 b,Kepler-1438,1,1,Transit,2016,2.31942009,0.0346,0.94,0.08386118,,,1490.0,0.96,0.97,5530.0,1154.13,289.289819,40.6816262,2025-08-09T19:18:00.763014
Kepler-1439 b,Kepler-1439,1,1,Transit,2016,8.07392849,0.0594,1.46,0.13025248,,,420.0,0.43,0.46,3578.0,225.393,285.7396971,40.9798688,2025-08-09T19:18:00.763016
Kepler-144 b,Kepler-144,1,2,Transit,2014,5.885273,0.066,1.33,0.119,,,1253.0,1.235,1.154,6075.0,384.917,281.9156128,42.7755535,2025-08-09T19:18:00.763018
Kepler-144 c,Kepler-144,1,2,Transit,2014,10.104665,0.094,1.35,0.12,,,1046.0,1.235,1.154,6075.0,384.917,281.9156128,42.7755535,2025-08-09T19:18:00.763019
Kepler-1440 b,Kepler-1440,1,1,Transit,2016,39.859484,0.23431,1.26,0.11240967,,,597.0,0.96,0.98,5698.0,1115.35,285.3469737,48.3122283,2025-08-09T19:18:00.763021
Kepler-1441 b,Kepler-1441,1,1,Transit,2016,39.4419839,0.2346,1.31,0.11687037,,,682.0,1.0,1.0,5802.0,1110.48,293.7191177,43.1245756,2025-08-09T19:18:00.763022
Kepler-1442 b,Kepler-1442,1,1,Transit,2016,81.4162941,0.40814,3.93,0.35061112,,,522.0,1.44,1.34,6394.0,608.68,291.2556226,48.8469171,2025-08-09T19:18:00.763023
Kepler-1443 b,Kepler-1443,1,1,Transit,2016,2.41811321,0.03783,0.97,0.0865376,,,1602.0,1.27,1.19,6289.0,593.646,283.4357392,47.0667983,2025-08-09T19:18:00.763025
Kepler-1444 b,Kepler-1444,1,1,Transit,2016,33.42035034,0.20906,2.18,0.19448657,,,581.0,1.05,1.03,5810.0,319.675,285.3306799,42.0405016,2025-08-09T19:18:00.763026
Kepler-1445 b,Kepler-1445,1,1,Transit,2016,10.60052251,0.09587,0.96,0.08564546,,,987.0,1.26,1.13,6150.0,506.357,280.2495197,43.9150665,2025-08-09T19:18:00.763028
Kepler-1446 b,Kepler-1446,1,1,Transit,2016,0.689967832,0.01405,0.82,0.0731555,,,1539.0,0.75,0.81,4865.0,152.075,289.4240357,46.7260823,2025-08-09T19:18:00.763029
Kepler-1447 b,Kepler-1447,1,1,Transit,2016,56.6747285,0.2836,2.9,0.25872067,,,522.0,0.95,0.97,5722.0,890.296,289.6434285,50.727016,2025-08-09T19:18:00.763030
Kepler-1448 b,Kepler-1448,1,1,Transit,2016,12.27065865,0.1058,1.61,0.14363458,,,811.0,0.93,0.95,5774.0,768.903,287.8674123,50.5955846,2025-08-09T19:18:00.763032
Kepler-1449 b,Kepler-1449,1,1,Transit,2016,13.2274528,0.1176,1.68,0.14987956,,,867.0,1.1,1.08,5979.0,2006.48,288.2317293,50.5678345,2025-08-09T19:18:00.763033
Kepler-145 b,Kepler-145,1,2,Transit,2013,22.951,0.17308,2.65,0.236,37.1,0.117,873.0,1.85,1.32,6022.0,566.85,291.3877397,44.5290465,2025-08-09T19:18:00.763034
Kepler-145 c,Kepler-145,1,2,Transit,2013,42.882,0.26244,4.32,0.385,79.4,0.25,709.0,1.85,1.32,6022.0,566.85,291.3877397,44.5290465,2025-08-09T19:18:00.763036
Kepler-1450 b,Kepler-1450,1,1,Transit,2016,54.5094166,0.2401,1.71,0.15255598,,,308.0,0.68,0.71,4524.0,505.829,294.5536825,45.0813011,2025-08-09T19:18:00.763037
Kepler-1451 b,Kepler-1451,1,1,Transit,2016,35.622233,0.2101,3.35,0.29886698,,,523.0,0.99,1.0,5782.0,1058.72,293.4464227,40.4098813,2025-08-09T19:18:00.763039
Kepler-1452 b,Kepler-1452,1,1,Transit,2016,42.913751,0.25764,2.7,0.24087787,,,810.0,2.06,1.41,6101.0,996.32,292.422792,38.2662824,2025-08-09T19:18:00.763040
Kepler-1453 b,Kepler-1453,1,1,Transit,2016,47.1611696,0.262,2.67,0.23820145,,,503.0,0.94,0.97,5665.0,1196.04,286.1255037,47.9475586,2025-08-09T19:18:00.763041
Kepler-1454 b,Kepler-1454,1,1,Transit,2016,47.0319479,0.2447,1.88,0.16772237,,,492.0,0.86,0.9,5448.0,780.566,284.2233265,48.8317229,2025-08-09T19:18:00.763043
Kepler-1455 b,Kepler-1455,1,1,Transit,2016,49.276764,0.2149,2.16,0.19270229,,,298.0,0.6,0.62,4075.0,357.621,294.0830662,50.5027572,2025-08-09T19:18:00.763044
Kepler-1456 b,Kepler-1456,1,1,Transit,2016,18.1373829,0.1132,1.14,0.10170399,,,433.0,0.62,0.64,4231.0,370.312,286.9453381,43.8228023,2025-08-09T19:18:00.763046
Kepler-1457 b,Kepler-1457,1,1,Transit,2016,51.1110243,0.26391,1.99,0.17753591,,,478.0,1.01,1.01,5866.0,889.885,283.7705481,42.027203,2025-08-09T19:18:00.763047
Kepler-1458 b,Kepler-1458,1,1,Transit,2016,47.9872764,0.24869,2.76,0.24623071,,,493.0,0.94,0.96,5653.0,544.45,283.2115971,41.0380135,2025-08-09T19:18:00.763048
Kepler-1459 b,Kepler-1459,1,1,Transit,2016,62.8691611,0.2829,1.36,0.12133107,,,349.0,0.74,0.78,4828.0,455.479,282.4229401,46.0139761,2025-08-09T19:18:00.763050
Kepler-146 b,Kepler-146,1,2,Transit,2014,31.158799,0.2,3.71,0.331,,,639.0,1.208,1.079,5948.0,716.797,294.1107631,38.7102222,2025-08-09T19:18:00.763051
Kepler-146 c,Kepler-146,1,2,Transit,2014,76.732171,0.364,3.13,0.279,,,473.0,1.208,1.079,5948.0,716.797,294.1107631,38.7102222,2025-08-09T19:18:00.763053
Kepler-1460 b,Kepler-1460,1,1,Transit,2016,29.9633247,0.1614,1.96,0.17485949,,,391.0,0.67,0.7,4422.0,553.218,285.5577888,44.0108221,2025-08-09T19:18:00.763055
Kepler-1461 b,Kepler-1461,1,1,Transit,2016,29.3494775,0.1715,2.03,0.18110447,,,451.0,0.74,0.79,4919.0,679.106,285.8305091,43.198377,2025-08-09T19:18:00.763056
Kepler-1462 b,Kepler-1462,1,1,Transit,2016,65.6488341,0.3094,3.82,0.34079757,,,390.0,1.0,1.0,5756.0,1017.82,296.397542,42.3969273,2025-08-09T19:18:00.763058
Kepler-1463 b,Kepler-1463,1,1,Transit,2016,25.15864,0.1694,1.86,0.16593809,,,619.0,0.95,0.96,5679.0,1687.47,294.4872785,42.0069064,2025-08-09T19:18:00.763059
Kepler-1464 c,Kepler-1464,1,2,Transit,2016,5.32786292,0.06101,1.0,0.08921402,,,1023.0,1.01,1.02,5828.0,1151.73,287.2356828,38.7540824,2025-08-09T19:18:00.763060
Kepler-1464 b,Kepler-1464,1,2,Transit,2016,31.7785901,0.20066,1.66,0.14809528,,,564.0,1.01,1.02,5828.0,1151.73,287.2356828,38.7540824,2025-08-09T19:18:00.763062
Kepler-1465 b,Kepler-1465,1,1,Transit,2016,31.8277111,0.1939,1.77,0.15790882,,,668.0,0.71,0.75,4726.0,359.497,289.8194222,51.9048541,2025-08-09T19:18:00.763063
Kepler-1466 b,Kepler-1466,1,1,Transit,2016,31.1750448,0.17981,1.55,0.13828174,,,585.0,1.02,1.01,5884.0,631.949,289.8312418,44.6098415,2025-08-09T19:18:00.763065
Kepler-1467 b,Kepler-1467,1,1,Transit,2016,47.0569043,0.2388,3.3,0.29440628,,,411.0,0.82,0.86,5332.0,852.888,295.0485389,45.3426781,2025-08-09T19:18:00.763066
Kepler-1468 c,Kepler-1468,1,3,Transit,2016,3.54553021,0.0466,1.15,0.10259613,,,1448.0,1.05,1.04,5893.0,1899.24,293.5198289,41.2773671,2025-08-09T19:18:00.763067
Kepler-1468 b,Kepler-1468,1,3,Transit,2016,8.23984869,0.0817,1.73,0.15434026,,,1093.0,1.05,1.04,5893.0,1899.24,293.5198289,41.2773671,2025-08-09T19:18:00.763069
Kepler-1468 d,Kepler-1468,1,3,Transit,2021,19.59059906,0.1456,3.33187146,0.29725017,,,819.0,1.496,1.072,5794.0,1899.24,293.5198289,41.2773671,2025-08-09T19:18:00.763070
Kepler-1469 b,Kepler-1469,1,1,Transit,2016,21.8635301,0.1466,2.8,0.24979927,,,551.0,0.89,0.92,5507.0,1159.3,293.8213286,39.3913385,2025-08-09T19:18:00.763071
Kepler-147 b,Kepler-147,1,2,Transit,2014,12.610584,0.113,1.53,0.136,,,953.0,1.468,1.145,6012.0,1042.02,287.9757213,39.087168,2025-08-09T19:18:00.763073
Kepler-147 c,Kepler-147,1,2,Transit,2014,33.416423,0.216,2.43,0.217,,,689.0,1.468,1.145,6012.0,1042.02,287.9757213,39.087168,2025-08-09T19:18:00.763074
Kepler-1470 b,Kepler-1470,1,1,Transit,2016,16.2950903,0.116,1.07,0.09545901,,,574.0,0.76,0.8,4961.0,590.601,288.6949475,39.8830802,2025-08-09T19:18:00.763076
Kepler-1471 b,Kepler-1471,1,2,Transit,2016,3.63899398,0.0453,1.41,0.12579177,,,1238.0,0.93,0.95,5660.0,978.678,289.6649171,50.0200612,2025-08-09T19:18:00.763077
Kepler-1471 c,Kepler-1471,1,2,Transit,2023,11.6044881,0.0981,1.88,0.16772265,,,841.0,1.166,0.934,5533.0,978.678,289.6649171,50.0200612,2025-08-09T19:18:00.763078
Kepler-1472 b,Kepler-1472,1,1,Transit,2016,38.1312831,0.2322,1.9,0.16950665,,,613.0,1.25,1.16,6159.0,1479.14,294.8526163,49.0574468,2025-08-09T19:18:00.763080
Kepler-1473 b,Kepler-1473,1,1,Transit,2016,14.4273551,0.11606,1.19,0.10616469,,,783.0,1.09,1.09,6046.0,652.253,290.6365144,48.9961494,2025-08-09T19:18:00.763081
Kepler-1474 b,Kepler-1474,1,1,Transit,2016,36.4333452,0.2108,2.16,0.19270229,,,561.0,1.04,1.04,5870.0,1180.9,294.6940261,45.866809,2025-08-09T19:18:00.763082
Kepler-1475 b,Kepler-1475,1,1,Transit,2016,82.177374,0.373,2.92,0.26050495,,,441.0,1.28,1.18,6214.0,1568.38,295.9482766,44.753096,2025-08-09T19:18:00.763084
Kepler-1476 b,Kepler-1476,1,1,Transit,2016,10.35863224,0.0932,1.67,0.14898742,,,860.0,0.96,0.98,5663.0,1002.74,284.5320743,43.9898971,2025-08-09T19:18:00.763085
Kepler-1477 b,Kepler-1477,1,1,Transit,2016,11.55530021,0.0911,1.18,0.10527255,,,674.0,0.78,0.81,5100.0,680.828,281.2985305,42.6856727,2025-08-09T19:18:00.763087
Kepler-1478 b,Kepler-1478,1,1,Transit,2016,26.0840594,0.1681,1.73,0.15434026,,,598.0,1.06,1.04,5904.0,1845.58,293.1650085,41.746184,2025-08-09T19:18:00.763088
Kepler-1479 b,Kepler-1479,1,1,Transit,2016,14.53261362,0.11341,1.83,0.16326166,,,746.0,0.98,0.99,5796.0,728.668,285.7119953,49.7067574,2025-08-09T19:18:00.763089
Kepler-148 b,Kepler-148,1,3,Transit,2014,1.729366,0.028,1.8,0.161,,,1284.0,0.851,0.86,5272.0,791.163,289.7861626,46.8588176,2025-08-09T19:18:00.763091
Kepler-148 c,Kepler-148,1,3,Transit,2014,4.180043,0.05,3.6,0.321,,,957.0,0.851,0.86,5272.0,791.163,289.7861626,46.8588176,2025-08-09T19:18:00.763092
Kepler-148 d,Kepler-148,1,3,Transit,2016,51.84688575,0.2607,8.68,0.77437773,,,413.0,0.81,0.86,5172.0,791.163,289.7861626,46.8588176,2025-08-09T19:18:00.763093
Kepler-1480 b,Kepler-1480,2,1,Transit,2016,22.12679948,0.1525,1.67,0.14898742,,,721.0,0.81,0.85,5156.0,500.892,291.9998055,49.3018321,2025-08-09T19:18:00.763095
Kepler-1481 b,Kepler-1481,1,1,Transit,2016,5.94220998,0.059,1.23,0.10973325,,,797.0,0.75,0.8,4908.0,459.076,289.4390075,49.7312226,2025-08-09T19:18:00.763096
Kepler-1482 b,Kepler-1482,1,1,Transit,2016,12.25383217,0.09968,1.01,0.09010616,,,678.0,0.84,0.88,5381.0,567.556,285.3138209,48.72527,2025-08-09T19:18:00.763098
Kepler-1483 b,Kepler-1483,1,1,Transit,2016,9.5085156,0.0958,1.52,0.13560532,,,1131.0,1.4,1.25,6337.0,1273.78,295.4097409,42.1507935,2025-08-09T19:18:00.763099
Kepler-1484 b,Kepler-1484,1,1,Transit,2016,30.4549136,0.1939,2.11,0.18824159,,,624.0,0.92,0.94,5730.0,2879.83,292.6842738,38.1262604,2025-08-09T19:18:00.763100
Kepler-1485 b,Kepler-1485,1,1,Transit,2016,19.9157725,0.14732,1.47,0.13114462,,,728.0,1.12,1.11,6087.0,615.66,298.0954404,44.7370612,2025-08-09T19:18:00.763102
